,cr,UltimateCategory
82,添加参数说明,12
83,注释符后面添加空格,12
84,去掉空格,12
85,逻辑不对,5
86,方法行数超过50 建议提取一下公共方法,14
87,exception中的日志使用error级别记录,12
88,后面的注释修改一下,12
89,关键字顺序不对,10
90,建议使用上注释,12
91,tab键,4
92,单行注释建议使用//,12
93,名字不对,4
94,添加版权,12
95,没有时间,10
96,这个代码写的太重复了，可以优化一下，构造StringBuffer只有最后有区别,10
97,代码不对， @see为空，没有直接删除,14
98,异常中日志建议使用error级别,12
99,// 后面要添加空格,12
100,",hide 逗号后面加空格",12
101,异常捕获中日志建议使用error级别,12
102,未添加author和since字段,10
103,javadoc 不要为空,10
104,//后面要加空格,12
105,简单的不用注释了,12
106,参数名修改一下,12
107,简单的就不用写了,12
108,添加功能说明,12
109,注释代码删掉,12
110,空注释  去掉,14
111,缺少参数描述,10
112,l大写,12
113,info变量名修改一下,12
114,添加空格,12
115,改成buffer_size大写,12
116,嵌套太深,10
117,关键字顺序,10
118,create书写错误,10
119,exist 就可以 不用existed,12
120,删除一些无用的javadoc,14
121,静态常量需要大写字母,14
122,path书写错误,12
123,单条语句也需要添加大括号,12
124,删除无用注释,12
125,逗号之后要空格,12
126,多余的空格,10
127,long变量需要添加L后缀,12
128,static和volatile顺序调整,12
129,javadoc中异常没有标注具体场景,10
130,&&前多了一个空格,10
131,long型需要添加L后缀,12
132,返回值未加注释,10
133,缺少方法简单描述或者删除自注释方法的javadoc,14
134,#NAME?,12
135,有用日志不能删除,10
136,mx.payback.client.android不是重复的,10
137,注释顺序不对,10
138,格式对齐,12
139,无用注释，删除,14
140,注释在最后且没有空格,10
141,嵌套层次过多,10
142,注释内容前未加空格 下面还有几个,10
143,注释去掉，或写全，或简单描述一下方法功能,12
144,注释内容前未加空格,10
145,建议改成灰显的app之类的吧，容易理解些,12
146,tab键换成空格,12
147,@return 加内容，或者删除,12
148,下面的i改了 这个也顺手改了吧,12
149,"/**
  * 检查是否预置应用及黑名单（仅仅只包括灰显的）
  */

注释格式不对",10
150,"需要在界面上显示的appList（包名列表）和 num 下面空一行
@param context描述为空",14
151,代码可读性不好  ex.getMessage() 统一换行吧,14
152,* */ 格式不对,10
153,可读性不好 (values.containsKey(BookmarkColumns.PARENT)) 放到一行，最外层括号不需要,14
154,代码可读性不好,10
155,m 命名修改一下,12
156,&& 需要放到行首,12
157,.equals(key)放到第一行的行末,12
158,多余的引用,10
159,不需要空格,12
160,格式不正确,10
161,需要加版权信息,12
162,日志级别能不能调整一下,12
163,逗号后面空一格,12
164,类名命名为大驼峰 或者可以修改为匿名内部类也可以，但是要看一下是否有可能出现内存泄露,12
165,注释与注释内容需要有一个空格,12
166,ViewUtil返回的是通用Layout，有没有好的方法，避免该类问题？,10
167,videoViewFlag 命名为 isVideoVisible 比较合适,12
168,加一个空行,12
169,-1具体含义是什么？,4
170,加空行，缺少return,12
171,没有方法功能描述,10
172,非常量名使用字母和数字 尽量不要带下划线,12
173,不要有空的java doc,12
174,这种异常情况的一些日志，建议使用warning或者error日志吧,12
175,不需要冒号,12
176,uri前加分隔符,12
177,版本信息与package之间需要空一行,12
178,MSG_BACKUP_FAIL_LOG后多了一个空格,12
179,ArrayList建议使用get(i)的方式（按顺序访问效率更高），不过编译器可能做了优化,14
180,少空行,12
181,建议使用warning级别或者error级别,12
182,需要加空行隔开,12
183,uri = 前加个分隔符合ex内容分隔开吧,12
184,建议换行，单行不超过120,14
185,变量名使用小驼峰filePath,12
186,行末不允许出现空格,12
187,变量名使用小驼峰 fileSize,12
188,这个返回的是int类型，建议说明一下0值标识失败，非零标识成功（非零的含义是什么）之类的,12
189,注释与注释内容之间需要一个空格,12
190,使用 ValidateUtils.isEmpty() 方法直接进行判断,12
191,只有真正通知的才打印日志,12
192,加上括号。方便阅读,12
193,if后面需要加空格,12
194,日志可能打印超标,12
195,超过120个字符,10
196,加上括号,12
197,超过了120个字符,10
198,#NAME?,12
199,这个数组copy了好几次，,10
200,行超过了120个字符,10
201,成员变量使用 /** **/格式注释,12
202,函数命名使用动词开头,12
203,使用javadoc 注释格式,12
204,没有对齐,10
205,变量命名不清晰,10
206,冗余变量定义，直接在最后返回false,14
207,使用 /** 注释格式,12
208,无用的注释可以去掉,12
209,空行去除,12
210,此处可以改为卫语句，避免检视说嵌套超过4层,14
211,逗号后面少一个空格,12
212,多了空格,10
213,不要空行,12
214,缺少参数说明，以及返回值说明,10
215,多了一个空格,10
216,参数超过5个,10
217,不要使用包装类型，直接使用基本类型,12
218,新增代码 使用JavaDoc注释格式 /** **/,12
219,缺少else语句,10
220,缺少参数，返回值说明,10
221,超过5个参数,10
222,不要空行,12
223,缺少参数说明及返回值说明,10
224,缺少异常说明,10
225,逗号后面少一个空格,12
226,"UiUtil.getDisplayMetrics(this)不会返回null,冗余判断",10
227,copyright顺手改成2019吧,12
228,方法超过50行,10
229,两个if平，不用嵌套,12
230,参数超过5个，并且超过50行,10
231,这里从代码上看不会抛出异常,10
232,*后面少一个空格,10
233,后面多了//,10
234,bModule变量名有些难理解建议修改一下,14
235,嵌套超过4层,10
236,上面定义常量LAST_VERTICAL_LINE，这边是否可以考虑使用该常量替换|,12
237,缺少参数说明及返回值说明，方法的注释要写全了,10
238,缺少javadoc注释,10
239,超过50行,10
240,这个是多余的,10
241,确实参数、返回值说明,10
242,成员变量一般以m开头,12
243,多了一个空格,10
244,要分割开,12
245,TAG建议不要用null,12
246,缺少参数及返回值说明,10
247,缺少else分支,10
248,删除对应的注释 或者java-doc书写完整 例如这一个要添加@param file 和@return,12
249,修改成捕获NoSuchAlgorithmException,12
250,PMS 格式不对,10
251,使用基本类型,12
252,日志的tag尽量用private,12
253,since 不需要：,12
254,尽量使用卫语句,12
255,尽量一行只做一件事,12
256,缩进了8个字符,10
257,不要用m开头,12
258,行首空格尽量不要,12
259,能否在一行显示,12
260,确实参数，返回值描述,10
261,改成foreach的形式,12
262,常量命名没有意义,10
263,成员变量采用javadoc方式注释,12
264,缺少参数及返回值说明,10
265,可以指定初始化大小,12
266,使用foreach语句,12
267,.放在行首,12
268,这个地方不要格式化了,12
269,标准格式： true--写入成功  false--写入失败,12
270,缺少参数  返回值描述,10
271,缺少@param,10
272,缺少参数说明,10
273,一个语句里面不要干两件事，把++currentRestoreInde 放前面一行吧,12
274,换行位置不对,10
275,时间改成2019,12
276,功能描述和参数描述之间空一行,12
277,尽量不要使用单个字母的命名方式，除了在for循环中的i等,12
278,改成mFileIndex,12
279,缺少参数描述，返回值描述,10
280,缺少参数说明及返回值说明，方法的注释需要写全了，这是四级部门专家提的建议,14
281,缩进不对齐，需要格式化一下,14
282,尽量修改为foreach,12
283,不合入,12
284,建议不要使用单个字母的变量命名（ MediaLeafModule m;）,12
285,不要直接+e使用e.getMessage,12
286,缺少参数 返回值描述,10
287,建议替换为 ValidateUtils.isNotEmptyCollection(list),12
288,抽成常量,12
289,注释最好都是中文，语言统一,12
290,空格取消,12
291,不用格式话,12
292,按照专家评审意见，private方法如果写java-doc就要写全，包括参数@param和返回值@return,12
293,1.2.3.4四种情况可以按照左边方式对齐 没有问题 而且一行不是那么适合阅读，注释除了要准确外还可以考虑美观,12
294,*后需要有空格,12
295,去除tab键,12
296,魔鬼字符串，或者可以加个注释,14
297,使用foreach,12
298,修改成foreach形式,12
299,这两行是否需要可以合并为一行,12
300,多余的空格,10
301,SQL语句内容用注释说明下吧，创建什么表，有什么字段,12
302,魔鬼字符串（包含下划线）,10
303,直接命名为index,12
304,没有加注释,10
305,功能描述与返回值之间缺少一个空行,10
306,建议不使用单个字符作为变量名,12
307,方法注释和参数个数不对应，缺少2个参数注释,10
308,未使用删除，硬编码,12
309,数组要用foreach,12
310,缺少参数说明，返回值说明,10
311,参数，返回值缺少说明,10
312,缺少参数、返回值说明,10
313,建议修改为foreach方式（每时间就先遗留）,10
314,返回字符串,4
315,函数参数注释缺少2个,10
316,格式不对齐,10
317,这种一般格式“true--xxx  false--xxx”,12
318,最后一个条件加括号,12
319,缺少返回值描述,10
320,参数缺少描述,10
321,多了一个*号,10
322,RuntimeException 不能捕获,10
323,"建议	注释	2.1	正式交付给客户的代码不能包含TODO/FIXME 注释",12
324,copyright修改为2019,12
325,参数注释缺少,10
326,单个字母的变量命名,4
327,List默认大小是10.用16也没什么问题,10
328,五层if嵌套，看能不能优化一下,10
329,直接使用.append,12
330,"建议一个叫lastModifiedTime 另一个叫anotherModifiedTime,比1和2好一点",12
331,命名不合理,10
332,建议不要使用单个字母的变量命名,12
333,没有返回值，方式注释不对,10
334,@since 后面不需要添加冒号,12
335,顺序不对，private放在protected下面,12
336,方法注释缺少参数注释,10
337,异常堆栈丢失。,10
338,排版格式错乱。,10
339,方法注释格式不对,10
340,else if  直接改成if,12
341,多了一层try,10
342,不要以单个字母为变量名,12
343,建议一起修改一下copyright为2019,12
344,方法注释格式建议用标准格式,12
345,"建议	注释	2.1	正式交付给客户的代码不能包含TODO/FIXME 注释",12
346,注释超过了120行,10
347,javadoc不完整,10
348,这个异常捕获是为什么,4
349,这边上tab键去掉,12
350,缺少空格。,10
351,超过12个字符,10
352,这个TAB键修改一下，替他不用修改,12
353,不要捕获RuntimeException,12
354,第一个表达式建议加括号,12
355,只有灰显的应用黑名单数组  --描述精准写，“有”去除,12
356,命名重复，建议区分开,10
357,建议使用foreach,12
358,存在四个条件，建议抽成一个方法,12
359,可以指定长度,12
360,不要使用单个字母的命名方式,12
361,建议语言统一，全部用中文,12
362,多余空行，建议顺带去除,12
363,需要加空行,12
364,打印日志有问题，等号后无内容,10
365,对于override方法，如果父类有注释，子类的可以不注释，当子类实现和父类注释不符时再注释，其他地方参考该建议,12
366,三个判断抽方法,12
367,缩进格式不对齐。,10
368,缺少一个默认的else处理,10
369,下面也要加空行,12
370,该参数的含义不清晰。,10
371,checkStyle插件更新一下 since现在格式是yyyy-mm-dd 月份和日期都变成了两位 后面都按照checkstyle的标准来吧 其他的也参照修改一下吧,12
372,方法命名需要遵守小驼峰，full-Full,12
373,注释对齐的事情你跟鲍大祥对一下 组内决定应该是就使用一个空格分割 不需要对齐,12
374,"参数命名修改一下 源码中是void onClick(DialogInterface dialog, int which);",12
375,行末有空格,10
376,多余空幻建议删除,12
377,注释和代码之间不要有空行,12
378,时间戳格式  2019-01-07,12
379,"1.注释缺少context参数；
2.return参数注释不明确",10
380,时间戳  xxxx-xx-xx,12
381,多余空行建议删除,12
382,注释内容要详细 比如这个bundle是用来干什么用的或者包含了哪些信息 这个bundle看起来像是只标记了类型,12
383,返回值不用写变量，直接说明返回内容即可,12
384,无意义的注释,10
385,变量定义和赋值建议合并成一行，提升可阅读性。,12
386,时间戳格式  2019-01-07(xxxx-xx-xx),12
387,多个条件使用小括号确保优先级,12
388,无用空行建议删除,12
389,时间戳格式  2019-01-07   xxxx-xx-xx,12
390,这行优化一下吧 三个参数抽一个变量或者方法 看起来有点累，if else可能在这里比三目表达式好一点,12
391,一般成员变量使用m开头的这种变量命名方式 方法体内不用,12
392,应该是是否包含联系人的hash吧 这个方法有点奇怪,12
393,建议沟通参考一下确定返回值的int的具体含义，恢复数据像是一个动作，没办法表达int返回值的含义,10
394,TAG和类名不符，建议保持一致,12
395,超过120行,10
396,这个类基本都改了，直接把全部的编程规范都改下吧，类加注释,12
397,mOperationList.size() >= MIN_PUSH_LENGTH 需要加括号,12
398,命令为MAIN_USER_ID,12
399,建议7.5 不要直接捕获受检异常的基类Exception,12
400,以英文的首字母 s（static）表示的是静态变量，m（member） 则表示的是成员变量,12
401,建议8.7.2 初始化集合时，尽量给出初始化大小,12
402,编程规范-建议8.7.2 : 初始化集合时，指定初始化大小,12
403,锁对象建议定位为final,12
404,规则5.1 避免方法过长，不超过50行（非空非注释）,12
405,SQLException属于敏感异常，不可以直接记录日志。本例把异常信息和栈都记录到了日志。文件中已提一处，此处仅提提示,12
406,不建议方法直接抛出异常基类Exception，这个方法看不出其中可能报什么异常，有必要加吗？,12
407,直接命名为sizeStr 或者 displayStr,12
408,"建议7.5 不要直接捕获受检异常的基类Exception
如果必须要捕获，建议加上一些注释来说明",12
409,版权注释起始时间与文件实际创建时间不符，请统一清理,12
410,建议7.5 不要直接捕获受检异常的基类Exception,12
411,时间格式  2019-01-25,12
412,"建议7.5 不要直接捕获受检异常的基类Exception
如果必须要捕获，建议加上一些注释来说明
这个文件里共有7处",12
413,静态变量以s开头,12
414,局部变量不允许使用m开头命名,12
415,规则5.1 避免方法过长，不超过50行（非空非注释）,12
416,编程规范-规则8.3.1 :无需索引时采用for-each代替传统的for循环,12
417,"Formatter.formatShortFileSize(MigrationCompleteListActivity.this, realSize).toUpperCase(Locale.getDefault())

可以抽成一个变量",12
418,类注释缺少version字段,12
419,"建议7.5 不要直接捕获受检异常的基类Exception
如果必须要捕获，建议加上一些注释来说明
此文件共有3处",12
420,建议8.2.1不要写超过3个的复杂条件表达式,12
421,注释写在if上面更合理一些,12
422,黑名单代码不要加注释了，可读性不好，加入黑名单的原因在wiki的excel中维护,12
423,处理逻辑超过4层,10
424,SQLException属于敏感异常，不可以直接记录日志。本例把异常信息和栈都记录到了日志,12
425,SQLiteException为敏感异常，不应记录日志，别处已提，此处仅为标记问题,12
426,第一个表达式加括号,12
427,这里为什么要抛异常,0
428,"建议7.5 不要直接捕获受检异常的基类Exception
如果必须要捕获，建议加上一些注释来说明
共有3处",12
429,这个if判断多余了，下边的if可以直接if(length <= 0) 。。break就行了,12
430,建议5.1 方法的参数个数不应超过5个,12
431,"建议7.5 不要直接捕获受检异常的基类Exception
如果必须要捕获，建议加一些注释来说明",12
432,module.getSuccess() > 0 加括号,12
433,此处关闭多余，finally中有关闭处理，且此处关闭后没有置为null，导致finally中重复close,10
434,不仅把SQL直接记录日志，而且把敏感异常SQLiteException记录日志,10
435,"建议7.5 不要直接捕获受检异常的基类Exception

如果必须要捕获，建议加一些注释来说明",12
436,对齐方式错误,10
437,"8.8 可移植性
可以使用java.io.File中的separator和
pathSeparator静态字段表示名字和路径分隔符。",12
438,建议7.5 不要直接捕获受检异常的基类Exception，如必须请注释说明,12
439,actflag不符合小驼峰,10
440,空格问题,10
441,空行建议去除,12
442,setFromThreads.size()后缺少分隔符,10
443,"1.各个字段之间缺少空格；
2.日志RuntimeException后缺少分隔符；",10
444,建议5.1 方法的参数个数不应超过5个,12
445,c命名不合理,10
446,in.close()抛异常就在外面一层的try里捕获了，跳过下面的sendPendingIntent方法调用，也需要改成IoUtils.closeQuietly(in);,12
447,局部变量禁止采用m的方式命名,12
448,"缺少参数描述
功能描述和下面的参数描述要空一行
缺少return描述",10
449,建议使用小驼峰命名,12
450,对于空行建议去除,12
451,重复关闭流,10
452,cs不合理,10
453,FEK是什么意思，42行FEK是小写的     这边专家可能提方法名不符合小驼峰,10
454,initPass不合理，init适合用在方法名上,10
455,改成private的,12
456,日志级别采用e,12
457,packagename不符合小驼峰,10
458,mPackMan不清晰，且不要用m,12
459,规则7.7 日志应分等级，对info及以下，使用条件形式或者使用占位符的方式，本文存在多处，其它请自行排查，后续不再提此类问题comment,12
460,描述和参数间空一格就行   不用对齐,12
461,功能描述和参数描述之间空一行，且参数描述不合理,12
462,startTIme不符合小驼峰,10
463,PMSbackupRestoreUtil 不符合大驼峰,10
464,方法说明下缺少空行,10
465,规则7.7 日志应分等级，对info及以下，使用条件形式或者使用占位符的方式,12
466,error后建议加空格，和报错信息分隔开,12
467,mPm命名不合理,10
468,手动调整换行,12
469,功能描述和参数之间空一行,12
470,局部变量不要用m,12
471,注释格式不对，缺少参数注释,10
472,多余空行，建议删除,12
473,日志RuntimeException后缺少分隔符；,12
474,建议7.5 不要直接捕获受检异常的基类Exception，如果必须请加注释说明,12
475,sv3 含义不清晰,10
476,mAvailableSpaceSize局部变量禁止使用m,12
477,if条件多条时，null == restoreValues都要加括号,12
478,时间格式  2019-01-22,12
479,各个字段之间缺少空格；,10
480,变量尽量不要使用单字母，命名需要做到见名知义,12
481,e.getMessage()打印也有安全问题了，打印前面的描述就行了，其余地方统一整改,12
482,冗余代码删除,12
483,failed后加冒号或者空格和错误分隔开，增强可读性,12
484,参数注释缺少含义说明,10
485,imp同上,0
486,cleanDataSuc   suc是啥，不要这样缩写,4
487,不要采用匈牙利命名法，统一排查,12
488,该处空行建议删除，代码段的首尾建议不要有空行,12
489,注释格式不对，缺少参数和返回值说明，请用标准格式,14
490,建议使用e.getMessage()代替e.toString(),12
491,建议7.5 不要直接捕获受检异常的基类Exception，如必须请注释说明,12
492,cs不合理，禁止这样缩写,12
493,这边不用分这么多行，格式化工具有问题，当超过120时，格式化工具是从第一处开始换行的，手动调整一下，免得方法太长,12
494,分行不合理，使用手动分行，从参数的逗号后面或加号前面分行，请统一排查,12
495,空格问题，其他处请自行排查,12
496,参数缺少说明,10
497,规则7.7 日志应分等级，对info及以下，使用条件形式或者使用占位符的方式,12
498,pm命名不合理,10
499,缺少类注释,10
500,hm不规范，统一排查，禁止这样缩写,12
501,这一段没有用，156行的方法中就没有对hm重新赋值，请参考备份修改,12
502,条件超过了三个,10
503,imp不好，专家可能看不懂，虽然我们知道这是子类实现,10
504,*号后面多了个空格,10
505,pi不合理，统一排查,10
506,缺少参数说明,10
507,建议注释语言保持一致，统一用中文,12
508,fileDes看不懂，不知道des是什么意思,10
509,public protected方法需要有注释，统一排查,12
510,1.各个字段之间缺少空格；,10
511,不要采用这种缩写命名变量，pi  pm,12
512,mPackageURI   除了成员变量，其他变量禁止采用m方式命名,12
513,pm不合理，不要这样缩写，统一排查,12
514,boolean型的表达式不带这么用equals的，这个if去掉，永远是false,12
515,缺少空格,10
516,delCrate 这个有没有拼写错误，看不懂要删除什么，跟注释对不上,10
517,perpare命名不合理，改为isPerpared,12
518,功能描述和参数描述之间空一行，且参数缺少描述,12
519,缺少注释，统一排查,10
520,局部变量，不要大写,12
521,此处的if  else逻辑啰嗦了，请参考备份修改,12
522,命名不清晰,10
523,modlueName拼写不对,10
524,sv3命名不合理,10
525,protected成员变量要有注释说明,12
526,*号后面多了一个空格,10
527,//后面少一个空格，统一排查,10
528,参数说明不用对齐，全部只空一格,12
529,代码中有空格,10
530,结尾有空格,10
531,public 和 protected的静态成员变量必须有注释,12
532,是否有兼容性问题i？,0
533,可以替换成 for each形式吗,4
534,注释建议语言保持一致，都是中文,12
535,注释的代码直接删除,12
536,error和异常Exception不符合，建议描述更贴切些,14
537,日志标识和具体报错信息之间缺少间隔，建议用空格分隔,12
538,建议注释语言风格保持一致，统一采用中文,12
539,描述错误“会话”,10
540,建议不要使用单字母变量，变量命名要做到见名知义,12
541,缺少参数storeHandler注释说明,10
542,时间格式XXXX-XX-XX,12
543,注释风格建议保持一致，统一采用中文,12
544,建议异常描述和异常类型保持一致，且尽量详细,12
545,建议异常描述和异常类型保持一致，且尽量详细,12
546,建议注释语言风格保持一致，统一采用中文；,14
547,e.toString()建议换成e.getMessage(),12
548,返回值的说明与实际返回值含义不符合,10
549,方法注释缺少参数和返回值注释,10
550,日志标识mapGetFromPdu put error.建议和RuntimeException区分开，以防报错不知道是哪种Exception,12
551,public方法缺少注释,10
552,参数注释不用和其他保持对齐，用一个空格分隔即可,12
553,日志标识和具体报错信息之间缺少间隔，建议用空格分隔,14
554,protected级别的静态变量需要加注释,12
555,日志标识threadsMapForSms init error.建议和RuntimeException区分开，以防报错不知道是哪种Exception，可以写成“Exception：threadsMapForSms init error.”,12
556,public和protected的静态变量需要添加注释，private级别的不用,12
557,copyrioght的开始时间和 @since保持一致,12
558,使用for-each,12
559,不要使用c,12
560,protected成员变量需要添加对应的java-doc注释 这个tag有必要是protected的吗,12
561,long类型数据建议以L结尾,12
562,建议单词书写完整,12
563,条件需要加括号,12
564,命名有点不合适，切合语义一点 比如 mediaName之类的,12
565,入参当成返回值,10
566,不需要这个返回值,12
567,Restore拼写错误,10
568,execue单词拼写问题,10
569,起始时间和@since时间对不上；,10
570,使用foreach,12
571,不要有空格,12
572,起始时间和@since时间对不上,10
573,"retore拼写错误
下面一个注释也写错了",10
574,缩进不对，不用换行,12
575,注释和返回值不符,10
576,多余的continue,10
577,使用括号,12
578,返回值说明不完整，对于布尔类型值，true/false均需要说明,12
579,不符合小驼峰,10
580,"mapContactsAddressPerson 修改为contactsAddressPersonMap
变量命名不能有特殊前缀",12
581,命名不是小驼峰,10
582,开始时间2019,12
583,考虑下是否要有else分支,12
584,@see标注不对,10
585,已有工具类ViewUtils,10
586,尽量使用已有的工具类：ViewUtil.setViewVisibility,14
587,在这个地方赋值很怪哦,10
588,跟27行有问题,0
589,逻辑错了,4
590,backup_settings  这条字符串修改有问题,10
591,这里引入了Log做什么,4
592,"备份和设置模块一直都有“backup_settings”这个字符串，<string name=""backup_settings"">[CS_109614]_BACKUP</string>  这个是我们备份的字符串。<string name=""backup_settings"">[CS_109614]_Back up &amp; restore</string> 这个是设置模块的字符串。我们上次是新增字符串backup_name 同步设置模块的字符串backup_settings。",10
593,minSDKversion 23为什么要改这个？,4
594,catch掉异常，否则P版本老ROM会crash,14
595,使用已有工具列ViewUtil.setViewVisibility（）,12
596,请加一行处理，防止底层bug二次回调  mTv_scanning.setVisibility();,14
597,getRunningTasks（1）会返回空list，加个判断??if (am.getRunningTasks(1).size() > 0) { },14
598,这条字符串不能修改。本分支字符串与主干上字符串完全独立不相干，虽然字符串ID一样，但是翻译不一样。,14
599,这个字符串在哪？不是新增的？,0
600,这个不需要修改,12
601,格式~,12
602,需要对mOperation.getProgressModules()判空,12
603,声明放到for循环里，外面没用到,14
604,安全扫描不允许用getAbsolutePath()， 要改成getCanonicalPath(),14
605,换下 getCanonicalPath(),12
606,同shang,0
607,catch到异常时，temp是null。这里会crash。建议new下 或加个null判断,14
608,Exception时，下面操作，直接crash,10
609,同上,0
610,检查下getRelFilePath方法内实现时，srcPath为null时，会不会出问题,14
611,"注意这里，new File(null)的场景
NullPointerException - 如果 pathname 参数为 null。
同时改的时候小心下一行，需要非空",14
612,空方法，且少括号。,10
613,多个封号,10
614,恢复异常终止的情况下，successNum没有重置成0.下次可能出现计数异常,14
615,getContentResolver也要判空，getString源码里面没有处理入参为null的场景，会导致crash,14
616,放在779行一起判下空,12
617,这里引入了一些没用到的类？ 排查下,14
618,zhe这块删除逻辑已经优化过了，不要用老的方法，性能很差,12
619,需要添加action判空处理,12
620,失败分支没有调用mStoreHandler.endTransaction()，可能导致数据库连接耗尽,14
621,isNotEmptyCollection()接口对外暴露的话，本接口应该为private修饰,14
622,"用日志工具类打印日志，不要直接log
LogUtil.e(String tag, String msg, Throwable e)",12
623,我们就用到了一个PackageName，有必要所有的数据项都读取出来吗？,13
624,当hotPatchSet时空的HashSet的时候，PACKAGE_BLCAK_LIST是个空集合且非null。导致调用getDefultePackageBlacklist()时，返回空集合，导致黑名单功能完全不可用。,10
625,"Java通常推荐使用可能被并发访问的共享资源充当同步监视器。
建议用synchronized(mHotPatchList)",14
626,这里会crash。,4
627,这里先入参校验处理,12
628,删掉，没必要的处理,12
629,删除这种危险操作，最好加上删除对象的信息日志打印。,14
630,建议增加日志，定位方便~~~,14
631,data判空,4
632,考虑下多次退出再进入外部存储页面，是否会crash,14
633,删除操作模拟删除媒体文件夹的操作，放在ui的子线程操作。否则影响服务性鞥,14
634,作者命名按照规范,12
635,"补充注释，举个例子：

     /**
     * @tc.req desc = ""RCS getLoginState Test"" jira=""AR000A8OGQ"" 
     * @tc.test no = ""A001001,A001002"" name = ""testGetLoginState"" desc = ""test for getLoginState"" 
     * @tc.steps desc = ""1.assert LoginState""
     */
    @Test   //测试用例注解和注释之间不要有空行等,否则无法读取到类注释
    @Level1",14
636,"国内版配了android:launchMode=""singleTask""，海外版没有配置。请确认！",7
637,这个包克隆已经默认引入了吗？,0
638,如果成功可以不打日志，如果失败则LogUtil.E,14
639,如果失败，打印Error级别的日志,12
640,丢到工具类里吧,12
641,如果只有一处使用，建议删除,12
642,海外版本不需要BopD需求？,15
643,这个地方是否要考虑兼容性？,6
644,移动最上面,12
645,加了>0后只有一台nas就展不开子文件夹了,10
646,NAS的卸载回调为什么要放在BaseActivity里面？,0
647,doule行,10
648,行数不对,10
