,cr,UltimateCategory
1647.0,为何要在这里设置横屏?,0.0
1650.0,url是否要判空,0.0
1651.0,为什么要return 父？,0.0
1661.0,请王彪确认下，翻译变更有没有提交，这个被覆盖了,0.0
1664.0,这是分割线？分割线不是这么定义的啊,0.0
1669.0,我们不是有BrocastUtil吗?,0.0
1671.0,前面判断了isShowingErrorTab，这个地方还需要走判断么,0.0
1674.0,没看明白surfaceCreated和权限有啥关系?,0.0
1676.0,这思路有点不太明白,0.0
1679.0,我们代码minApi应该是21吧? 低于23的咋办?,0.0
1681.0,这里也是,0.0
1682.0,这个是干啥的?,0.0
1684.0,这半边括号是否多余啊？,0.0
1685.0,复写onTextChanged有什么作用?,0.0
1690.0,1px？分割线是这种写法吗，跟沛哥确认一下呢,0.0
1693.0,内存占用怎么样？比如加载一张20MB的图片,0.0
1695.0,是不是要动态设置，对于不支持模糊的ROM有没有问题？,0.0
1696.0,"这个看起来只有这一处调用, 那这个参数的意义是什么?",0.0
1700.0,需要在else中divider.setVisibility(View.VISIBLE);吗？如果文件夹有分页是不是有问题？,0.0
1701.0,"这个命名看不明白
flag定义后有何意义，只是打日志？",0.0
1708.0,按钮有左边距8？,0.0
1711.0,确认下这个if还需要么？,0.0
1712.0,已经有layoutparams了怎么办?,0.0
1713.0,判空？,0.0
1745.0,为什么refresh之后isMorePointRecord就变成false了？,0.0
1789.0,这个地方为啥要进行修改,0.0
1830.0,现在是不是可以不区分pad和phone了？,0.0
1835.0,为啥国内是列表，海外是Map,0.0
1838.0,为啥先clear后再add,0.0
1840.0,lhs、rhs是啥意思,0.0
1852.0,库上已删除的方法，请确认是否必要；如果不要，你加回来干什么？,0.0
1859.0,工程中有两个日志打印类，对打印功能是否有影响,0.0
1862.0,-1 表示啥，其他文件里也有-1.,0.0
1872.0,如何过滤掉用户拒绝的签署记录的？,0.0
1893.0,这个版本号为啥要修改,0.0
1904.0,保护的范围是？任务仅运行一次？还是执行完之后还可以再执行？,0.0
1916.0,这两个有啥区别,0.0
1921.0,这个挪过来起到了JsonBean应有的作用没？,0.0
1925.0,这个场景，还需要通过callback回调吗,0.0
1929.0,本地没有记录的时候，不需要通知调用者？,0.0
1937.0,手机和pad都是48dp吗,0.0
1948.0,这个分支不需要任何处理？,0.0
1979.0,哪来的map,0.0
1996.0,这个还是使用原来的值？,0.0
2003.0,这是啥？,0.0
2006.0,为啥使用大写的Long,0.0
2024.0,如果关闭这个配置的话，我们的证书和域名校验是怎样的？,0.0
2054.0,混淆文件是否需要跟着修改下？其它涉及到包名变化的也需要关注下,0.0
2058.0,和上面一样的问题,0.0
2077.0,注释还是Id,0.0
2081.0,此处为什么要把时间转换成0，在使用的时候又多判断一次是否为0？,0.0
2084.0,重试次数也会受Timeout的配置项影响吗？,0.0
2097.0,确认下这个类增加方法 是否需要修改云龙打包,0.0
2129.0,这是啥,0.0
2130.0,这个实现由经过确认吗？下单成功，支付失败，优惠券没有了，符合用户体验吗？,0.0
2203.0,这个确定使用dp?其它地方也一起再看下,0.0
2269.0,接口字段变了，旧版本可以解析成功吗？,0.0
2273.0,这个看下是否必要？内部能根据当前缓存判断是否要从云端拉取？,0.0
2295.0,好像没有拼接国家码和语言的需求,0.0
2309.0,是非法的吧,0.0
2314.0,只有国内有默认定义？海外是否需要隐藏,0.0
2315.0,return了，onRequestFinish不需要执行了？,0.0
2442.0,遗漏,0.0
2784.0,这里直接抛会不会有问题?,0.0
2833.0,template 文件没有加？,0.0
2834.0,这个choose外层不要加非空判断吗,0.0
2915.0,这里是否可以转成基类view,0.0
2931.0,这个是已经翻译过的字符串吗,0.0
2961.0,不需要init（）？,0.0
2982.0,此数字是否要定义常量,0.0
3005.0,"这个value未使用到 用处在哪里
？",0.0
3503.0,10 120 是什么意思？,0.0
3512.0,为什么要用包装类？,0.0
3524.0,为什么要用这个布局文件？和首页的List一样吗？,0.0
3526.0,这个字段是控制什么的？,0.0
3535.0,日志会不会太多？,0.0
3563.0,确定可以复用么？,0.0
3565.0,这个是什么意思？,0.0
3580.0,这是什么路径？,0.0
3595.0,需要public方法吗？,0.0
3614.0,有效期确认是一年么？,0.0
3620.0,为什么是获取SecretKey？,0.0
3661.0,这种写法和服务器确认下是否正确？,0.0
3682.0,这个为什么放这？,0.0
3683.0,这个在哪里用的？,0.0
3688.0,这个4，从哪来的？什么意思？,0.0
3690.0,这是什么意思？,0.0
3701.0,这个写到这里是为什么？,0.0
3712.0,这个和普通的Item有什么区别？是不是可以复用？,0.0
3714.0,这块需要用static么,0.0
3723.0,这个什么时候释放？,0.0
3730.0,这个组件可以满足要求么？,0.0
3739.0,这是服务器定义的viewType么？,0.0
3761.0,无用的复写？,0.0
3775.0,测试代码?,0.0
3779.0,看不懂这个名字是什么意思？,0.0
3835.0,异常页面呢？,0.0
3836.0,为什么会出现转换类型？,0.0
3837.0,这个是测试代码还是要提交的代码？确认吗？,0.0
3839.0,异常页面呢？,0.0
3893.0,类似,0.0
3897.0,需求已经做完了吧？为何还有这种编码？,0.0
3900.0,这都是什么意思,0.0
3909.0,为什么默认值不是false,0.0
3910.0,为什么注释掉已有代码..,0.0
3911.0,必须要用全局广播吗？,0.0
3921.0,为什么是写死的？,0.0
3936.0,这个大写，其他小写？,0.0
3958.0,测试日志吧？,0.0
3962.0,为什么resID要判空？,0.0
3976.0,这个为什么修改？,0.0
3981.0,这个干什么的？,0.0
3982.0,这什么意思？,0.0
3994.0,反序列化为什么不行？,0.0
4028.0,为什么不写到xml？,0.0
4080.0,callback为空 crash？,0.0
4097.0,这个逻辑是怎么来的？通过什么判断的,0.0
4098.0,是否要区分一下是否为诺曼底版本？,0.0
4106.0,为啥加句号？？,0.0
4222.0,crash  (exceptionView == null 就能show了？,0.0
4230.0,status 为2啥意思,0.0
4284.0,国内/海外版本统一Country字段了么？,0.0
4290.0,这个不用吧？,0.0
4299.0,确定不会为null？,0.0
4313.0,此处是否有必要使用while(true)循环？,0.0
4355.0,connector是否可能为空？,0.0
4393.0,"""Authorization""字段确认是否要修改？",0.0
4394.0,什么要设置这个height？,0.0
4417.0,是否可能为空？,0.0
4436.0,问下陈刚是否合适， 包括命名,0.0
4453.0,放到,0.0
4659.0,没看明白 这里分批有啥用？,0.0
4680.0,ST在Cloud的基类中没有设置？,0.0
4681.0,这个既然不需要进行ReportPlay了，为啥还保留这个类？,0.0
4688.0,这些错误码有用到吗？,0.0
4691.0,这些常量有用到吗？,0.0
4692.0,tabs是否会为空,0.0
4705.0,是否有用,0.0
4714.0,这个应该使用了新的拦截器的模式去处理了吧？,0.0
4715.0,这个默认值，VR、OTT端都是一样的处理吗？,0.0
4726.0,这是哪来的名字,0.0
4735.0,打印IMEI号？,0.0
4752.0,这个为啥要放到HVI中,0.0
4758.0,所有的协议都公用一个最新版本号码？,0.0
4769.0,这个userId定义在这里做什么？,0.0
4784.0,TermsConfig中不能封装下简单的接口吗,0.0
4792.0,为啥要先!Success,0.0
4793.0,这个保存下来是做什么,0.0
4795.0,这个确定是要异步处理？,0.0
4802.0,是否会数组越界,0.0
4804.0,这个为什么要修改,0.0
4814.0,是否需要修改为有一个地址配置就上报？,0.0
4815.0,是否需要判空？,0.0
4819.0,此处为什么要打印w的日志,0.0
4821.0,参数为什么不修改下,0.0
4824.0,这个为null，还能继续跑成功的通知吗？,0.0
4827.0,命名为啥有大有小,0.0
4832.0,need和agree与reject是什么关系,0.0
4841.0,能看出来是什么错误吗,0.0
4842.0,能否直接传null,0.0
4843.0,这个配置项怎么使用，是否要连同内部的logger类一起修改；是否可以合并到logconfig中,0.0
4845.0,广播注册后什么时候开始释放,0.0
4853.0,如果设置过来的是空怎么办,0.0
4855.0,"DEF_MAX_FILE_SIZE 
DEF_MAX_BACKUP_INDEX
文件个数和文件大小定义是否反了？",0.0
4865.0,这个为啥要提交,0.0
4905.0,errorStatus永远不会为空吗,0.0
4907.0,这个需要对外暴露吗？另外这几个常量和Download有关系吗,0.0
4962.0,这个要继承Serializable？,0.0
4968.0,这个copy什么作用,0.0
4981.0,这个能优化吗？,0.0
4982.0,这个为啥作为cancel处理,0.0
4984.0,这个返回值有用吗,0.0
4992.0,continue有啥用,0.0
4994.0,这个continue什么用,0.0
5002.0,日志TAG为什么定位为和类名无关常量？,0.0
5016.0,当前没有用到这个类吗,0.0
5019.0,enumValueArgumentInfo是否存在为null的情况？,0.0
5021.0,这个url是公共参数吗？,0.0
5022.0,这个地方不需要return掉？,0.0
5025.0,这个是否会为null?,0.0
5030.0,这个为什么还要对外暴露,0.0
5048.0,空类是否可以删除,0.0
5075.0,同上，请一并修改,0.0
5123.0,怎么保证不为空,0.0
5124.0,这个配置项设置没有入参？,0.0
5126.0,播放器不带百事通的吧？,0.0
5129.0,这段代码还要不要了？,0.0
5143.0,怎么写了两遍,0.0
5145.0,args0不用了，为空还需要阻断流程吗？是不是就不需要判空？,0.0
5154.0,null要不要add进去？,0.0
5190.0,为什么要添加if else,0.0
5191.0,这个需要做多渠道吗？,0.0
5192.0,"1)国内要具体实现吗？
2）国内本地视频会不会调你这个接口？如果会调，应该返回啥",0.0
5194.0,这个也会发送通知？,0.0
5196.0,这个需要设计两个参数吗,0.0
5201.0,这是什么意思？为啥country要用oversea？而且这个country什么作用,0.0
5202.0,这种要分if、else写吗,0.0
5203.0,这个与IAccountCheckOnlineCallBack不是一样的吗,0.0
5204.0,这个是通用的，带回调请求的。跟检查在线有啥关系,0.0
5214.0,国内需要吗,0.0
5215.0,为什么要对中国特殊处理,0.0
5257.0,这个类没有修改呀？还是重写了一套流程,0.0
5264.0,这个为什么要改？,0.0
5305.0,这个todo，做了吗,0.0
5313.0,这个应该是魔鬼数字吧？,0.0
5320.0,util_cui是新增的打log方法吗？我们现在输出log都是从VRLogger,0.0
5363.0,什么字符?,0.0
5499.0,获取的QueryCollectionResult值能够保证不为空吗？其它调用的地方有无判空,0.0
5540.0,item.itemId是否存在null情况,0.0
5541.0,data.itemValues是否会为null,0.0
5570.0,ie可能为空咋办?,0.0
5598.0,这个list需要判空的吧？,0.0
5609.0,"leftPageChangeBtn.OnClickHandler是(()=>{})
rightPageChangeBtn.OnClickHandler是()=>{}
为啥俩不一致?",0.0
5613.0,魔鬼数字，64代表什么意思,0.0
5663.0,这个类空的？,0.0
5680.0,0是试看还是1是试看?,0.0
5688.0,不return使用上一次的请求结果会出问题吗,0.0
5700.0,mediaPaths 没有用到？,0.0
5714.0,编辑器代码？测试代码？,0.0
5726.0,“1”代表什么?,0.0
5780.0,数组会越界吗？,0.0
5784.0,为什么要循环打印日志？,0.0
5810.0,这俩接口有啥不一样？,0.0
5821.0,这一句呢,0.0
5839.0,的想个办法避免再出现这个情况了,0.0
5846.0,全部变化了？,0.0
5851.0,为啥一开始不把userRole放到authorization 中去，而是吧role放进去？,0.0
5857.0,Assembler去哪儿了？,0.0
5876.0,这里把异常吃掉而不是暴露出去，是出于什么考虑？,0.0
5878.0,基础类 是什么意思？,0.0
5880.0,没看懂。。。,0.0
5885.0,角色不存在还是版块不存在？,0.0
5888.0,魔鬼数字~,0.0
5889.0,其他角色不返回吗？,0.0
5926.0,这里是故意留下的吗？,0.0
5933.0,这两个方法有啥区别？,0.0
5937.0,这个find是干啥用的？,0.0
5944.0,这个find是干啥的？,0.0
5947.0,怎么有两个key？,0.0
5956.0,mapper查集合本来就不会返回null的吧？,0.0
5994.0,这是个什么操作？,0.0
1182.0,为毛改成public?,1.0
1184.0,这命名? isIs?,1.0
1213.0,"这个操作就复杂了, 从哪儿学来的?",1.0
1215.0,"谁让你用GBK的? 这种判断方法不行

这个问题的解决方法也不行, 和宝义再讨论一下, 有疑问让他找我",1.0
1225.0,"这么简单的操作, 有必要单独整一个类吗?",1.0
1246.0,"1. 不是可以传ApplicationContext?
2. 这个成员为何不能在声明的时候定义?",1.0
1334.0,默认parentID，不能写死成3！,1.0
1347.0,越界检查,1.0
1380.0,都没有异常日志的?,1.0
1389.0,神经啊这么大一个if,1.0
1394.0,命名怎么又没有下划线了,1.0
1479.0,0有啥好转的,1.0
1575.0,说了不要随意定义接口,1.0
1718.0,空格!,1.0
2216.0,哈哈哈为啥三个构造方法取了三个不同的名字，这么有个性么,1.0
2356.0,打错字了！,1.0
2436.0,。。。缩进还是没改好,1.0
2443.0,为啥这注释不见了。。。,1.0
2726.0,hmacsha256不是已经有了么？为啥又引入一个,1.0
3510.0,失败不需要任何处理？,1.0
3705.0,不加TODO ？ 后面还能找回来？,1.0
4888.0,也不打印,1.0
5819.0,这个文件时怎么回事了？,1.0
5834.0,怎么又注释掉了？,1.0
2119.0,这个future是局部变量，在哪里会cancel?哥，请确认一下,2.0
4719.0,不要这么搞,3.0
169.0,-1具体含义是什么？,4.0
314.0,返回字符串,4.0
326.0,单个字母的变量命名,4.0
348.0,这个异常捕获是为什么,4.0
486.0,cleanDataSuc   suc是啥，不要这样缩写,4.0
533.0,可以替换成 for each形式吗,4.0
589.0,逻辑错了,4.0
591.0,这里引入了Log做什么,4.0
593.0,minSDKversion 23为什么要改这个？,4.0
626.0,这里会crash。,4.0
631.0,data判空,4.0
673.0,// 空格,4.0
710.0,超过120字符,4.0
715.0,是在下错了，不理解这个需求不需要海外版。,4.0
752.0,超过120,4.0
758.0,不要这样修改,4.0
767.0,“()”括号为啥又去掉了呢,4.0
788.0,注释也不要超过120个字符,4.0
805.0,/可否改为系统的,4.0
849.0,这个变量命名有点疑问，buffer的大小为啥是speed_size,4.0
868.0,/要不要改为系统的,4.0
889.0,不再本次整改范围内,4.0
979.0,看不明白这个注释是什么意思？,4.0
989.0,"N,应该是表示O、P版本吧，为啥只写了P版本？",4.0
1003.0,参考上述排查一下,4.0
1165.0,命名,4.0
1171.0,这样实现横竖屏可能有问题。请确认,4.0
1176.0,update加个返回值，刷新了再执行下面的逻辑？,4.0
1177.0,反射不要放这里,4.0
1178.0,这个条件没有覆盖全,4.0
1180.0,这里传的不是classname吧,4.0
1181.0,色彩库,4.0
1183.0,不支持页面内查找,4.0
1185.0,间隔库,4.0
1188.0,请排查是否还需要,4.0
1196.0,命名诡异,4.0
1197.0,控件,4.0
1201.0,codedex规则理解有误,4.0
1202.0,"CustomTabActivity是一个公共页面, 不仅仅是协议签署",4.0
1203.0,异常了还能继续吗? 不能的话及时返回,4.0
1204.0,"协议签署需要及时写入到SP, 尤其是在退出的情况, writeboolean默认是apply, 需要检查是否有必要用commit的方法?",4.0
1206.0,"空格

另外, 判断是否大小为0可以用empty之类的方法或者<=0来判断, 1有魔鬼数字的嫌疑(虽然并不是)",4.0
1207.0,不允许抛运行时异常. 异常的时候强行指定,4.0
1209.0,"不能写死, 取自己的包名就行了",4.0
1211.0,"不要这样使用控件

请尝试在preferrnces 的layout中直接使用hwbutton，不要复用preferrnces的title来模拟button",4.0
1212.0,"新增Style加到\android_studio\chrome\src\main\res\values\styles.xml
就行",4.0
1216.0,与UX确认过，不考虑多语言场景,4.0
1219.0,"这种玩法不标准, 让调用方检查返回值是否正确",4.0
1221.0,Promise的使用有严重问题,4.0
1222.0,都是tab的内部特性，同样的代码调用了这么多次，需要抽成方法,4.0
1229.0,会发网络请求,4.0
1232.0,结合逻辑,4.0
1233.0,使用控件，divider_horizontal_gray_emui,4.0
1242.0,"这种解决办法应该不对, 给我看具体的原因",4.0
1245.0,间隔库仅用来标注间隔，高度等不可使用,4.0
1251.0,不允许使用,4.0
1256.0,"@color/guide_last_copyright的值是@color/emui_black
@dimen/protocol_main_textsize的值是@dimen/emui_master_subtitle
皆与UX一致",4.0
1280.0,这个get不一定100%没问题,4.0
1284.0,"命名定义错了，应该是TYPE_开头。
另外上面已经定义了一个51的，需要把这个修改下",4.0
1286.0,这里跟其他地方调用逻辑不一致，入参是当前view,4.0
1289.0,"同上一个问题

null check和代码风格",4.0
1293.0,"这一连串的调用, 要小心检查每个返回的检查是否能保证一定不为null?",4.0
1295.0,IO中耗时操作,4.0
1296.0,"流程上是否能保证到了这一步, 数据库一定不会有同一个guid的记录? 避免保存时失败",4.0
1298.0,编码风格,4.0
1304.0,getVersionFromSp就可以直接返回response,4.0
1305.0,"用法错误, 毫无用处",4.0
1312.0,有死锁问题,4.0
1314.0,"tab和多余的空格, 不是用Android studio写的吗?",4.0
1315.0,编码规范,4.0
1320.0,"这个为null/empty的时候, 我们也应该要设置吧, 如果是投拼的话",4.0
1321.0,先根据appid作判断为信息流，再根据具体的ctype确定类型；如果不带ctype，作为默认信息流处理。,4.0
1329.0,这个分支进不来，在上面已经经过判断了,4.0
1343.0,解决访问页面点击后退键回到主页，页面padding未生效问题,4.0
1356.0,StringUtils里面有公共的parseLong方法,4.0
1373.0,参考签名意见,4.0
1388.0,-2和-3怎么办? -100呢?,4.0
1391.0,"既然有type, 为何要用name来比较? 多语言的情况怎么办?",4.0
1393.0,"问题1. 非9.0手机上没有任何效果，跟原来一样
问题2. 需要一起讨论一下，不光是主页，其他页面也有这个遮挡问题",4.0
1405.0,每点击一次就遍历，会有性能问题,4.0
1411.0,"有下面的switch/default, 为啥前面还需要一个if?",4.0
1412.0,成员变量命名以m开头,4.0
1421.0,调用PcModeUtil的方法,4.0
1437.0,"这个分隔线不对
android:layout_height=""2px""
android:background=""@drawable/hwdivider_horizontal_gray_emui""",4.0
1441.0,多语言实现有问题,4.0
1442.0,2 对应点击下载应用,4.0
1445.0,这里要对应修改为 -1 了,4.0
1447.0,有没有看过分隔线左右间距对不对,4.0
1462.0,写错了，应该是EStartType.PUSH.startType,4.0
1466.0,error级别,4.0
1469.0,这样写不合适,4.0
1471.0,300也有常量的,4.0
1482.0,测试好像没发现问题，执行线程恢复为与原来相同。这里不影响启动到底图速度，但影响整体信息流显示速度。,4.0
1501.0,"padding_l
下同",4.0
1510.0,变量命名还是不规范,4.0
1515.0,"这么干应该有问题的, 有不少接口限制了只能在UI线程调用",4.0
1524.0,常量没定义成LONG?,4.0
1527.0,异常描述不应该一样,4.0
1534.0,这个为何要持久化? 这不是实时计算出来的吗?,4.0
1538.0,for遍历,4.0
1539.0,"确定不要这个判空操作了，tags = NtpViewHolder.decodeTags(tagData.split(""\\|""));这个返回一定是非空？",4.0
1540.0,这个大的分类，有没有小的分类,4.0
1546.0,这是大的分类，有没有小的分类,4.0
1554.0,RuntimeException是大分类 ，有小分类吗,4.0
1563.0,"如果首次加载失败, 这个监听何时返回?

另外, add了监听, 何时remove?",4.0
1587.0,"这里打点准确么？
多窗口模式，窗口1浏览频道A，窗口2浏览频道B
窗口切换时，这里的打点是不是不对？
其他类似出入口，请一并检查",4.0
1592.0,这是大的分类，没有小的分类？,4.0
1619.0,也是删,4.0
1622.0,删,4.0
1637.0,从方法名看不出是什么功能,4.0
1653.0,逻辑判断错了，必定crash,4.0
1654.0,成员变量,4.0
1659.0,这个不需要super方法吧,4.0
1683.0,点击触发的加载，不需要判断网络类型了吧,4.0
1691.0,有两处调用的，分别是需要和不需要。,4.0
1692.0,没用到,4.0
1704.0,"删掉的这些参数作用, 是否有进行测试? 原来的代码, 看起来很重要的一点是内存的节省",4.0
1743.0,已经存在“%s积分”,4.0
1751.0,读取的vip的botton的宽度？这块可能会出问题,4.0
1756.0,字符问题,4.0
1763.0,这段代码实现的不是特别好，再思考下怎么更合理,4.0
1766.0,0和1有魔鬼字符的意思在里面,4.0
1779.0,这个list对象每次都会new一个,4.0
1808.0,实例方法，写static，依然会报问题,4.0
1811.0,当前是在最后一个位置是否需要添加分割线,4.0
1818.0,签到入口默认是隐藏的,4.0
1822.0,"布局格式；
默认为什么要设置为gone？能否再使用这个布局的地方设置",4.0
1824.0,Local.properties这个是本地属性文件，不能上库,4.0
1825.0,这个应该控制按钮的展示吧,4.0
1826.0,字符,4.0
1837.0,初始化的时候，就会获取角标广告，会不会影响起播性能,4.0
1839.0,不好的设计,4.0
1849.0,config.getDefaultGiftPoint()为空时候，会crash,4.0
1855.0,要不要和会员试看片类似，直接跳转会员页？,4.0
1860.0,之前应该是默认的USER_GUEST_ID,4.0
1881.0,魔鬼数字,4.0
1886.0,不好的设计,4.0
1892.0,库上删除的不用代码，本地提交又带上去了,4.0
1911.0,后续优化：外部不区分TMS和Cloud的签署信息，统一上传用户签署记录,4.0
1920.0,注释不对,4.0
1935.0,设计了两个按钮不太合适,4.0
1954.0,AR单号不对,4.0
1956.0,没有缩进,4.0
1962.0,一行代码就够了,4.0
1965.0,可能为空,4.0
1985.0,分类重新考虑下，另外phone的PC化如何展示,4.0
1988.0,"ViewUtils.setVisibility(signinAgainOrange, View.GONE);
ViewUtils.setVisibility(signinAgain, View.GONE);

if(状态) {
  A.show()
}else {
  A.show()
}",4.0
1994.0,工具类已经判断size,4.0
2007.0,放到这个工具类不是很合适，这个类是专门处理TextView的,4.0
2010.0,subtab_fg_selector应该bg,4.0
2019.0,注释不对，不止是视频云的吧,4.0
2020.0,直接用dx呢,4.0
2028.0,这个字串，代码中还在引用,4.0
2033.0,安全问题，同步合入807,4.0
2036.0,魔鬼数字,4.0
2045.0,属性不对,4.0
2057.0,这个配置项控制的点有点多,4.0
2073.0,这个回调可能不执行,4.0
2074.0,默认值的定义,4.0
2079.0,使用ViewHandler避免内存泄露，造成性能问题,4.0
2080.0,改动了原有逻辑，减少了对mOffsetEnd非0的判断，会引入问题,4.0
2085.0,每次post的对象和remove的对象不一样,4.0
2105.0,扫一扫距离右边间距变化过大，没有计算,4.0
2107.0,8.2.10.1内部优化需求，本次提交统一排查修改一次,4.0
2109.0,查询是否有公共定义资源文件,4.0
2116.0,导致输入框里面的扫描icon拉不起花币卡扫描页面,4.0
2124.0,版本号不对，主线修改,4.0
