,cr,CrType,Sentiment,Knowledge,UltimateCategory
231,than,1,0,0,4
232,此接口底层直接同步调用数据库，不应当放在主线程调用,1,1,1,0
233,Subscriber和action不能是null,1,1,0,1
234,判空,1,1,0,1
235,用正则表达式匹配，光以v开头不行,1,1,1,0
236,怎么跳到百度去了？,1,0,0,4
237,判空,1,1,0,1
238,context 加判空 sp 加判空,1,1,0,1
239,"1. 广播注释放在onStart 到 onStop
2. 不要每次联网都请求，model单独提供接口，保证只请求一次即可。",1,1,1,0
240,增加本地flag判断，不需要删除代码，需求完成后只要把停用flag放开即可,1,1,1,0
241,实现方式不正确,1,0,0,4
242,使用 ArrayUtils.getListElement工具类,1,1,1,0
243,1. Map放下,1,1,0,1
244,这边需要打日志，同时不应该捕获Exception异常,1,1,1,0
245,需要使用@AuthCheckAnnotation注解加操作日志,1,1,1,0
246,不用加,1,1,0,1
247,上下都要空格，和原有代码风格保持一致,1,1,1,0
248,"1、52行有对mQueryDetailFavorites中的值进行判空，此处没有；
2、需要增加对vodID进行判空",1,1,1,0
249,最大数字 2 多次用到，定义为常量,1,1,1,0
250,注释没写全,1,0,0,4
251,需要关闭io流,1,1,0,1
252,google建议，对于使用weight，通过将宽度或高度的值写为0dp，告知系统weight是针对width 还是 height,1,1,1,0
253,最好添加一个统一的tag来标记所有的流程,1,1,1,0
254,使用子类的名字作为TAG更好些,1,1,1,0
255,无用代码？,1,0,0,4
256,注意下注释,1,0,0,4
257,色值字符串抽取,1,1,0,1
258,注意代码格式化,1,1,0,1
259,不建议增加这2个成员变量,1,1,0,1
260,更新标签时，需要增加deviceType字段的更新,1,1,1,0
261,audioInfos的元素是有可能为null的,1,0,1,2
262,return isVodAac5X(volumeSourceInfo) || isVodAac7X(volumeSourceInfo);一条语句就足够了,1,1,1,0
263,中文？,1,0,0,4
264,无需抛异常，直接返回，由外层统一控制即可。,1,1,1,0
265,优惠券的布局应该和特惠/常规等标识使用一套实现,1,1,1,0
266,日志的TAG注意保持统一,1,1,1,0
267,showVoucherList();showMoreVoucherList();,1,0,0,4
268,考虑去掉,1,1,0,1
269,这段修改是为了什么,1,1,0,1
270,注释要求不能放到代码后面,1,1,1,0
271,使用interface， public，static final等都可以省去,1,1,1,0
272,直接return !ArrayUtils.isEmpty(AggregationPlayHistoryManager.getInstance().getLocalHistories()),1,1,1,0
273,需要补充注释,1,1,1,0
274,如果确认此处是Pulic的则应该放到最上面,1,1,1,0
275,8.0.7.1,1,0,0,4
276,平板为啥不显示首页tips,1,0,0,4
277,加一下注释，此字段是什么含义,1,1,0,1
278,大量重复代码，不允许,1,1,0,1
279,换下常量,1,1,0,1
280,ID 不符合驼峰规则,1,1,0,1
281,多了一个非操作,1,1,0,1
282,这个100 SXSSFWorkbook类有常量定义。并且用默认值的话，构造函数用这个就行： SXSSFWorkbook(XSSFWorkbook workbook),1,1,1,0
283,与调试相关的注释须删除。,1,1,1,0
284,增加getResources()的判空,1,1,0,1
285,使用TextViewUtils，并且可以合并为1行,1,1,1,0
286,命名,1,0,0,4
287,此函数做了两件事，1.更新currentPos，2.并判断当前是否是删除当前的节点。从命名上看不出功能2.建议拆分为两个方法,1,1,1,0
288,建议做成配置项，以及根据现网时延确定超时时间,1,1,1,0
289,从名字看不出功能,1,1,0,1
290,应该从connect开始,1,1,1,0
291,需要在使用时判空，或者在数组插入时判空,1,1,0,1
292,不需要定义局部变量,1,1,0,1
293,注释问题,1,0,0,4
294,为啥不继承SimpleDialog,1,1,0,1
295,导入顺序不对,1,0,0,4
296,"这个实现不好，不治根。也不知道其他场景下会不会有问题。
建议先了解清楚这两个参数的含义。",1,1,1,0
297,vodbriefInfo是否为空？,1,0,0,4
298,去掉无关格式化,1,1,0,1
299,看下是否可以调用公共方法,1,1,0,1
300,注释的版本号和日期，跟当前不匹配,1,1,0,1
301,修改日志级别,1,1,0,1
302,函数起名应该是修改歌单名称,1,1,0,1
303,"注释模板不对
/**
 * ******<BR>
 *
 * @author 
 * @version [V8.0.3.340, 2018/3/23]
 * @since V8.0.3.340
 */",1,1,1,0
304,命名不规范,1,0,0,4
305,锁的粒度是否太大了？,1,0,0,4
306,TAG名称与类不匹配,1,0,0,4
307,此处返回空的列表比较好,1,1,0,1
308,只是调用super，可以删除。,1,1,1,0
309,list判empty使用ArrayUtils，简单且有判null,1,1,1,0
310,"新增字符串翻译  不允许设置priority属性

另外 字符串  是否提交A_NAME翻译了？",1,1,1,0
311,新增字符串 不允许设置  priority属性，,1,1,1,0
312,用  com.huawei.wallet.commonbase.log.,1,1,1,0
313,是Histen,0,0,0,7
314,使用自己的配置，或者将此类写两份，分别用于海外或国内,1,1,1,0
315,这边应该改成service_item_cd,1,1,0,1
316,"日志打印，需要整改一下

改为e(String tag, String message, Throwable cause)",1,1,1,0
317,有post，就要有remove，其他地方类推,1,1,1,0
318,按之前的设计，是不是只有OWNER才能添加设备？只有write权限还不够,1,1,1,0
319,局部变量命名不规范,1,0,0,4
320,TabBrief的equals方法中不是有判断吗？,1,0,1,2
321,"这里继承AbstractMessageEntity, 可以实现错误消息透传",1,1,1,0
322,首字母小写,1,1,0,1
323,可删除。,1,1,0,1
324,换行,1,1,0,1
325,确保appinfo没有被其他的request引用,1,1,1,0
326,"1.这块实现和视频云接口基类一样，是否可以直接继承视频云的Convert基类；
2.GetBeInfoEvent应该不会继承CloudRESTfulConverter类，这里的判断是否就多余了；",1,1,1,0
327,判空,1,1,0,1
328,变量命名仅有最后一个字母大小写的区别,1,1,1,0
329,类型转换要判断,1,1,0,1
330,一起修改掉,1,1,0,1
331,多处使用，魔鬼数字,1,0,0,4
332,括号位置不对,1,0,0,4
333,这段逻辑封装到歌单管理相关的类里去，不要对外暴露两个表的设计。,1,1,1,0
334,异常捕捉,1,1,0,1
335,相关新增和老的能力要抽取出来，应该作为viewmodel或者model能力（可能还不是严格MVVM的样式）,1,1,1,0
336,这个log不需要了，而且log用的不对，TAG是类名，也不能用中文。,1,1,1,0
337,注释无效,1,1,0,1
338,appver判空给个-1,1,1,0,1
339,多余的接口,1,1,0,1
340,这个应该是优惠券类别的长度,1,1,0,1
341,可以统一用core里面的,1,1,1,0
342,放在公共入口,1,1,1,0
343,不要引用UI层面的类,1,0,1,2
344,修改理由是什么,1,0,0,4
345,是否显示品牌信息，用来判断,1,1,0,1
346,这个不是create,1,0,0,4
347,"定义成set。
为什么要定义成LIST，返回时再转成SET ？",1,1,0,1
348,rA_CodeSnippet,0,0,0,7
349,主线程,1,0,0,4
350,相对布局没有这个属性,1,1,1,0
351,删除该段日志打印。,1,1,0,1
352,调试日志，删除。,1,1,0,1
353,需要空一行,1,1,0,1
354,可能引入bug，万一最后就是Space，不能用这种实现。,1,1,1,0
355,定制化太强，非常不通用。不能上库,1,1,0,1
356,每次getView的时候触发比较好,1,1,1,0
357,属性首字母小写,1,1,0,1
358,没有赋值,1,1,0,1
359,命名规范,1,0,0,4
360,多了空行,1,1,0,1
361,不建议这么修改,1,0,0,4
362,命名应该保持统一，使用voucherDisplay,1,1,0,1
363,判空，或者直接调用viewutil,1,1,1,0
364,无用构造，默认构造就是无参构造,1,0,1,2
365,pad上下方图是否能适配,1,1,1,0
366,无意义的字符串拼接,1,0,0,4
367,此处无需判断成功次数，直接用boolean类型即可,1,1,0,1
368,不对,1,0,0,4
369,扩展下更多的设置,1,1,0,1
370,返回值注意下为空的处理,1,1,0,1
371,参考套餐的M层实现，目录需要调整,1,1,0,1
372,建议使用ArrayUtils进行获取,1,1,0,1
373,看下这个入参是做什么的,1,0,0,4
374,问题同卡券列表页面,1,1,0,1
375,涉及到变化的点都统一封装到一个方法中处理,1,1,1,0
376,"卡夹不需要理解海外品牌概念，不用出现overseas
区别就是是否显示品牌、品牌图标",1,1,1,0
377,删除,1,1,0,1
378,该断句,1,1,0,1
379,可以放在AdManager里面执行吧,1,1,1,0
380,tempList不需要定义成final类型,1,1,1,0
381,类型变了，参数名称也变化下,1,1,0,1
382,建议封装成创建任务的抽象方法,1,1,0,1
383,先加1再进行start操作,1,1,0,1
384,命名！,1,0,0,4
385,数组越界风险，缺少注释,1,1,0,1
386,脚本中有的有`，有的没有，建议统一一下，把`都去掉。另外脚本都改成小写。,1,1,0,1
387,不要引用A_NAME账号SDK的颜色定义,1,1,1,0
388,这边需要替换成name吗？,1,0,0,4
389,"字体距离两边4dp,这么改是不是会在左侧和右侧显示有问题",1,1,1,0
390,硬编码,1,1,0,1
391,为什么去掉权限检查,1,0,0,4
392,Manager需要依赖Presenter?,1,0,0,4
393,不能打印。里面有AT,1,1,1,0
394,数据变化，包含remove情况的处理,1,1,0,1
395,没有必要打日志,1,1,0,1
396,没有必要添加@Service注解,1,1,0,1
397,不必要的调试代码,1,1,0,1
398,删除,1,1,0,1
399,删除,1,1,0,1
400,改int,1,1,0,1
401,打点字段改了，运维报表那边需求需不需要同步修改？,1,1,1,0
402,fianlly里CloseUtils,1,0,0,4
403,error级别？,1,0,0,4
404,打点里定义常量,1,0,0,4
405,注意混淆问题,1,0,0,4
406,命名规范，其它类似的自己排查下,1,0,0,4
407,bean是否需要判空,1,1,0,1
408,应该分别判断是否会为空，为空的场景下，对应的内容有一个默认的展示,1,1,1,0
409,不要使用魔鬼数字,1,1,0,1
410,违反军规，字符串转数字请使用MathUtils，本次提交有多处，统一排查修改。,1,1,1,0
411,建议改成静态数组存储,1,1,0,1
412,缺少文件头注释,1,1,0,1
413,这段代码粒度和该函数不一致，提取一个函数，这里仅set一下,1,1,1,0
414,判空 使用ViewUril.setViewVisibility,1,1,1,0
415,怎么是具体工号了？,1,0,0,4
416,注释跟实际不匹配,1,0,0,4
417,"类多余,直接用BaseHolder",1,1,0,1
418,日志TAG注意下,1,0,0,4
419,这些可以删除掉了,1,1,0,1
420,格式调整,1,0,0,4
421,这个参数 是否多余,1,0,0,4
422,为何要这个1=1？,1,0,0,4
423,同样卡夹不需要理解是否是中国区，用卡图片上是否显示品牌信息表示,1,1,1,0
424,直接使用工具类即可,1,1,0,1
425,建议在非正常分支添加info的日志,1,1,0,1
426,建议清空,1,1,0,1
427,这个也不要提交,1,1,0,1
428,"1.单行展示缺少缩略展示方式配置
2.需要考虑内容很多时，距离界面的左右间距",1,1,1,0
429,硬编码,1,0,0,4
430,没必要持久化，性能太差,1,1,1,0
431,广播太重，影响全局每个实例,1,0,1,2
432,不用就删掉,1,1,0,1
433,listener不需要放在成员变量里，调用checkNeedUpdate传入就可以了,1,1,1,0
434,权限呢,1,0,0,4
435,应该是currentProduct.get() == null,1,1,0,1
436,没判空,1,1,0,1
437,这个里面有AT/RT不能打。目前看只打了TIMEOUT，没有意义。建议不打,1,1,1,0
438,删除该日志。,1,1,0,1
439,item.getUrl()可能为null不？如果可能需要保护,1,1,0,1
440,直接放入errorCode,1,1,0,1
441,剧集付费购买需要的参数和T片一致，都需要OrderExtraInfo,1,1,1,0
442,类型转换需要检查,1,1,0,1
443,android和java的引入类放在最上面,1,1,0,1
444,不要使用第三方SDK中的sha256方法。,1,0,1,2
445,注意一下注释,1,0,0,4
446,色值抽取,1,1,0,1
447,建议用debug级别,1,1,0,1
448,不允许直接打印日志到控制台,1,0,0,4
449,删除,1,1,0,1
450,这个格式为什么要调整,1,0,0,4
451,这个设置的用处是什么,1,0,0,4
452,没有放在string里,1,0,0,4
453,不多余啊，判断是否海外卡,1,0,1,2
454,匿名化处理一下，可能是手机号,1,0,1,2
455,confDisableVoucher,1,0,0,4
456,errorMsg 和上面一样的  是否要做区分？,1,0,0,4
457,含义不明，要定义常量,1,1,0,1
458,"1. 这个结果可以放在初始化里，没必要每次调用
2. 应该立即加载图片，有可能被清理缓存清理掉",1,1,1,0
459,变量名称要有意义,1,1,0,1
460,这些应该是info的日志,1,1,0,1
461,是否可以封装成获取更多接口，外部不关注详情的获取？,1,1,1,0
462,合入到老版本,1,1,0,1
463,注释问题,1,0,0,4
464,这边还是写time吧,1,1,0,1
465,鉴权放到循环外面。,1,1,0,1
466,"1. 大量重复代码
2. 广播影响全局不合理",1,0,1,2
467,目前禁止上库中文，找UI翻译下,1,1,0,1
468,抽取函数,1,1,0,1
469,这个类自身有toJsonString的方法,1,1,0,1
470,这里如果多次操作相同的channel，会重复添加的吧,1,0,1,2
471,增加本地flag判断,1,1,0,1
472,controller需要依赖Presenter?,1,0,0,4
473,使用ALL是不是更好些,1,1,0,1
474,同样是集成AbstractMssageEntity,1,0,0,4
475,不需要通过this调用,1,0,0,4
476,确实文件头注释,1,0,0,4
477,不必要的调试代码，删除。,1,1,0,1
478,"不建议所有逻辑都写在urlupdate里，比如subscriptiontoolbar显示隐藏啥的。
建议优化",1,1,1,0
479,默认text这些 标题标题这些都去掉,1,1,0,1
480,成员变量是否添加m前缀，同一个文件保持一致,1,1,0,1
481,代码冗余，直接返回isEmpty即可,1,1,0,1
482,"1.逻辑太复杂，封装一个函数
2.表达式太复杂，可读性差，且没有注释。",1,1,1,0
483,使用工具类 setText防止空指针,1,1,0,1
484,可以直接先对siteFile判空返回，下面topSitesList一样。,1,1,1,0
485,用if语句更好,1,1,0,1
486,"不需要定义BaseOrderTaskCallback,改成IOrderTaskCallback之类的名称即可，Base给人的含义是要继承",1,1,1,0
487,应该使用接口,1,1,0,1
488,赋值为生成的随机串，而不是1L,1,1,1,0
489,share下有常量类 VoucherConstant.java，可复用,1,1,1,0
490,这边的逻辑修改反了,1,0,0,4
491,import顺序不对,1,0,0,4
492,着两个新增的Activity不需要保持hwc-theme风格吗？,1,1,0,1
493,安装应用市场之后 是自动下载美团还是说 需要用户再次点击,1,1,0,1
494,String字段需要做正则校验,1,1,1,0
495,"应该是volumeSize -1,否则会导致数组越界",1,1,1,0
496,没有枚举值，范围太大 1001~1299,1,0,1,2
497,注释关注下,1,0,0,4
498,这个文件是啥？,1,0,0,4
499,参考其他P层实现，不需要单独保存View，基类已有实现。,1,1,1,0
500,实际想比较两个引用是否相同，直接使用== 即可，因为如果有人复写了advert的equals方法，此功能就会失效,1,1,1,0
501,超过三个，可以用switch,1,1,1,0
502,TAG 和类名不一致,1,1,0,1
503,"num >= 10000 是多余的条件, 删除",1,1,0,1
504,简化为1行,1,1,0,1
505,禁止多个实例公用一个页面状态,1,1,1,0
506,这里为何将判断去掉，建议还是留着判空。,1,1,0,1
507,空指针判断,1,1,0,1
508,所有文件注释中作者改成自己的工号,1,1,1,0
509,没有用的接口需要删除,1,1,0,1
510,这个日志级别应该不对，应使用info,1,1,0,1
511,125行多余了,1,1,0,1
512,删除该行日志打印。,1,1,0,1
513,这一块是A_NAME修改的问题，同步一下,1,1,0,1
514,删除,1,1,0,1
515,"应该是getLogTag,另外注释描述可以再清楚些",1,1,0,1
516,"这里在滚动时会多次执行，不适合打日志
或降低日志界别为debug",1,1,1,0
517,import顺序不对,1,0,0,4
518,MEID能大小写转换？,0,0,0,7
519,此处getLayoutParams，适合使用ViewUtils.getLayoutParams,1,1,1,0
520,注意注释,1,0,0,4
521,layout,1,0,0,4
522,l i i1这些日志打印的描述无法表达其含义，不满足日志可维可测,1,0,0,4
523,超过3个就可以用switch case了,1,1,1,0
524,多个分支的执行代码都是重复的，请优化,1,1,0,1
525,60*1000 //更加直观的看出超时时间,1,1,1,0
526,定义DEVICE_TYPE_UDID_STR和DEVICE_TYPE_UDID是否有必要？,1,0,0,4
527,为空不加载,1,1,0,1
528,最好放在广告控制类里面,1,1,1,0
529,宽度和高度都是包裹内容，gravity center没有意义了,1,1,1,0
530,"1/2,1/3屏的间距需要重新设置",1,1,0,1
